Variable Name,Role,Type,Description,Units,Missing Values
age,Feature,Integer,Age,years,no
sex,Feature,Categorical,Sex,,no
cp,Feature,Categorical,chest pain type,,no
trestbps,Feature,Integer,resting blood pressure (on admission to the hospital),mm Hg,no
chol,Feature,Integer,serum cholesterol,mg/dl,no
fbs,Feature,Categorical,fasting blood sugar > 120 mg/dl,,no
restecg,Feature,Categorical,,,no
thalach,Feature,Integer,maximum heart rate achieved,,no
exang,Feature,Categorical,exercise induced angina,,no
oldpeak,Feature,Integer,ST depression induced by exercise relative to rest,,no
slope,Feature,Categorical,,,no
ca,Feature,Integer,number of major vessels (0-3) colored by fluoroscopy,,yes
thal,Target,Categorical,Thalassemia: 3 = normal; 6 = fixed defect; 7 = reversible defect,,yes
num,Feature(old target),Integer,diagnosis of heart disease,,no
